id,description,chart_template_id/id,name,sequence,amount,amount_type,type_tax_use,price_include,tag_ids/id,children_tax_ids/id,account_id/id,refund_account_id/id
22v,22v,l10n_it_chart_generic,Iva al 22% (debito),1,22,percent,sale,False,tax_tag_22v,,4805045,4805045
22a,22a,l10n_it_chart_generic,Iva al 22% (credito),2,22,percent,purchase,False,tax_tag_22a,,1820005,1820005
22v INC,22v INC,l10n_it_chart_generic,Iva al 22% (debito) INCL,3,22,percent,sale,True,tax_tag_22vINC,,4805045,4805045
2210a,2210a,l10n_it_chart_generic,Iva al 22% detraibile 10% (I),100,19.8,percent,none,False,,,,
2210b,2210b,l10n_it_chart_generic,Iva al 22% detraibile 10% (D),200,2.2,percent,none,False,,,1820005,1820005
2210,2210,l10n_it_chart_generic,Iva al 22% detraibile 10%,4,22,group,purchase,False,tax_tag_2210,"2210a,2210b",,
2215a,2215a,l10n_it_chart_generic,Iva al 22% detraibile 15% (I),100,18.7,percent,none,False,,,,
2215b,2215b,l10n_it_chart_generic,Iva al 22% detraibile 15% (D),200,3.3,percent,none,False,,,1820005,1820005
2215,2215,l10n_it_chart_generic,Iva al 22% detraibile 15%,7,22,group,purchase,False,tax_tag_2215,"2215a,2215b",,
2240a,2240a,l10n_it_chart_generic,Iva al 22% detraibile 40% (I),100,13.2,percent,none,False,,,,
2240b,2240b,l10n_it_chart_generic,Iva al 22% detraibile 40% (D),200,8.8,percent,none,False,,,1820005,1820005
2240,2240,l10n_it_chart_generic,Iva al 22% detraibile 40%,10,22,group,purchase,False,tax_tag_2240,"2240a,2240b",,
22I5a,22I5a,l10n_it_chart_generic,Iva al 22% detraibile al 50% (I),100,11,percent,none,False,,,,
22I5b,22I5b,l10n_it_chart_generic,Iva al 22% detraibile al 50% (D),200,11,percent,none,False,,,1820005,1820005
22I5,22I5,l10n_it_chart_generic,Iva al 22% detraibile al 50%,13,22,group,purchase,False,tax_tag_22I5,"22I5a,22I5b",,
22AOb,22AOb,l10n_it_chart_generic,Iva al 22% indetraibile (D),200,0,percent,none,False,,,1820005,1820005
22AOa,22AOa,l10n_it_chart_generic,Iva al 22% indetraibile (I),100,22,percent,none,False,,,,
22AO,22AO,l10n_it_chart_generic,Iva al 22% indetraibile,16,22,group,purchase,False,tax_tag_22AO,"22AOb,22AOa",,
22art38v,22art38v,l10n_it_chart_generic,Operazione non imponibile – art.38 D.L. 331/93 22% (debito),17,22,percent,sale,False,tax_tag_22art38v,,4805046,4805046
22art38a,22art38a,l10n_it_chart_generic,Operazione non imponibile – art.38 D.L. 331/93 22% (credito),18,22,percent,purchase,False,tax_tag_22art38a,,1820006,1820006
22art173v,22art173v,l10n_it_chart_generic,Autofattura Extra CEE – art. 17 c.3 22% (debito),19,22,percent,sale,False,tax_tag_22art173v,,4805047,4805047
22art173a,22art173a,l10n_it_chart_generic,Autofattura Extra CEE – art. 17 c.3 22% (credito),20,22,percent,purchase,False,tax_tag_22art173a,,1820007,1820007
10v,10v,l10n_it_chart_generic,Iva al 10% (debito),33,10,percent,sale,False,tax_tag_10v,,4805045,4805045
10a,10a,l10n_it_chart_generic,Iva al 10% (credito),34,10,percent,purchase,False,tax_tag_10a,,,
10AOb,10AOb,l10n_it_chart_generic,Iva al 10% indetraibile (D),200,0,percent,none,False,,,1820005,1820005
10AOa,10AOa,l10n_it_chart_generic,Iva al 10% indetraibile (I),100,10,percent,none,False,,,,
10AO,10AO,l10n_it_chart_generic,Iva al 10% indetraibile,35,10,percent,purchase,False,tax_tag_10AO,"10AOb,10AOa",,
12v,12v,l10n_it_chart_generic,Iva 12% (debito),36,12,percent,sale,False,tax_tag_12v,,4805045,4805045
12a,12a,l10n_it_chart_generic,Iva 12% (credito),37,12,percent,purchase,False,tax_tag_12a,,1820005,1820005
2v,2v,l10n_it_chart_generic,Iva 2% (debito),38,2,percent,sale,False,tax_tag_2v,,4805045,4805045
2a,2a,l10n_it_chart_generic,Iva 2% (credito),39,2,percent,purchase,False,tax_tag_2a,,1820005,1820005
4v,4v,l10n_it_chart_generic,Iva 4% (debito),40,4,percent,sale,False,tax_tag_4v,,4805045,4805045
4a,4a,l10n_it_chart_generic,Iva 4% (credito),41,4,percent,purchase,False,tax_tag_4a,,1820005,1820005
4AOb,4AOb,l10n_it_chart_generic,Iva al 4% indetraibile (D),200,0,percent,none,False,,,1820005,1820005
4AOa,4AOa,l10n_it_chart_generic,Iva al 4% indetraibile (I),100,4,percent,none,False,,,,
4AO,4AO,l10n_it_chart_generic,Iva al 4% indetraibile,42,4,percent,purchase,False,tax_tag_4AO,"4AOb,4AOa",,
10I5a,10I5a,l10n_it_chart_generic,Iva al 10% detraibile al 50% (I),100,5,percent,none,False,,,,
10I5b,10I5b,l10n_it_chart_generic,Iva al 10% detraibile al 50% (D),200,5,percent,none,False,,,1820005,1820005
