"code","id","name","parent_id:id","is_base","vat_statement_type","vat_statement_sign","exclude_from_registries","vat_statement_account_id:id","withholding_type","withholding_payment_term_id:id"
,"vat_code_chart_root","Tassazione",,,,,,,,
"IVC","template_ivacode_pagata","IVA a credito","vat_code_chart_root",,"credit","-1",,"1800200005",,
"RA","template_ra_passiva","Rit. acconto passiva compensi","vat_code_chart_root",,,,"1",,"1",
"RA20","template_ra_passiva_20","Rit. acconto passiva compensi 20%","template_ra_passiva",,,,"1",,"1","payment_term_16_MS"
"RA235","template_ra_passiva_235","Rit. acconto passiva agenti 23% sul 50%","template_ra_passiva",,,,"1",,"1","payment_term_16_MS"
"RA232","template_ra_passiva_232","Rit. acconto passiva agenti 23% sul 20%","template_ra_passiva",,,,"1",,"1","payment_term_16_MS"
"ENA710","template_ra_enasarco_710","Enasarco agenti 14,20% sul 50%","template_ra_passiva",,,,"1",,"1","payment_term_16_MS"
"ENA1465","template_ra_enasarco_1465","Enasarco agenti 14,65% sul 50%","template_ra_passiva",,,,"1",,"1","payment_term_16_MS"
"RV","template_rv_attiva","Rit. acconto attiva compensi","vat_code_chart_root",,,,"1",,"1",
"RV20","template_rv_attiva_20","Rit. acconto attiva compensi 20%","template_rv_attiva",,,,"1",,"1",
"RV235","template_rv_attiva_235","Rit. acconto attiva agenti 23% sul 50%","template_rv_attiva",,,,"1",,"1",
"RV232","template_rv_attiva_232","Rit. acconto attiva agenti 23% sul 20%","template_rv_attiva",,,,"1",,"1",
"ENV710","template_rv_enasarco_710","Enasarco agenti attiva 14,20% sul 50%","template_rv_attiva",,,,"1",,"1",
"ENV1465","template_rv_enasarco_1465","Enasarco agenti attiva 14,65% sul 50%","template_rv_attiva",,,,"1",,"1",
"IVD","template_ivacode_riscossa","IVA a debito","vat_code_chart_root",,"debit","1",,"4800050045",,
"IVDI","template_impcode_riscossa","IVA a debito (imp)","vat_code_chart_root","1","debit","1",,,,
"IVD747","template_ivacode_riscossa_747","Reverse cessionario art.74 c.7 vendite","template_ivacode_riscossa",,"debit","1",,,,
"IVD747I","template_impcode_riscossa_747","Reverse cessionario art.74 c.7 vendite (imp)","template_impcode_riscossa","1","debit","1",,,,
"IVD748","template_ivacode_riscossa_748","Reverse cessionario art.74 c.8 vendite","template_ivacode_riscossa",,"debit","1",,,,
"IVD748I","template_impcode_riscossa_748","Reverse cessionario art.74 c.8 vendite (imp)","template_impcode_riscossa","1","debit","1",,,,
"IVDSI","template_impcode_riscossa_esente","Esente IVA vendite (imp)","vat_code_chart_root","1","debit","1",,,,
"IVDSI10","template_impcode_riscossa_esente_10","Esente IVA Art. 10 vendite (imp)","template_impcode_riscossa_esente","1","debit","1",,,,
"IVCSI","template_impcode_pagata_esente","Esente IVA acquisti (imp)","vat_code_chart_root","1","credit","-1",,,,
"IVCSI10","template_impcode_pagata_esente_10","Esente IVA Art. 10 acquisti (imp)","template_impcode_pagata_esente","1","credit","-1",,,,
"IVDEI","template_impcode_riscossa_esclusa","Escluso IVA vendite (imp)","vat_code_chart_root","1","debit","1",,,,
"IVDE15I","template_impcode_riscossa_esclusa_art15","Escluso Art.15 vendite (imp)","template_impcode_riscossa_esclusa","1","debit","1",,,,
"IVCEI","template_impcode_pagata_esclusa","Escluso IVA acquisti (imp)","vat_code_chart_root","1","credit","-1",,,,
"IVCE15I","template_impcode_pagata_esclusa_art15","Escluso Art.15. acquisti (imp)","template_impcode_pagata_esclusa","1","credit","-1",,,,
"IVCE741I","template_impcode_pagata_esclusa_art741","Escluso Art.74 c.1 acquisti (imp)","template_impcode_pagata_esclusa","1","credit","-1",,,,
"IVCF","template_impcode_pagata_fuori","Fuori Campo IVA acquisti (imp)","vat_code_chart_root","1","credit","-1",,,,
"IVDF","template_impcode_riscossa_fuori","Fuori Campo IVA vendite (imp)","vat_code_chart_root","1","debit","1",,,,
"IVDC","template_ivacode_riscossa_nonimpCEE","Non imponibile IVA vendite CEE","vat_code_chart_root",,"debit","1",,"4800050046",,
"IVDCI","template_impcode_riscossa_nonimpCEE","Non imponibile IVA vendite CEE (imp)","vat_code_chart_root","1","debit","1",,,,
